Date,Stock Code,Trading Volume,Transaction Amount,Opening Price,Highest Price,Lower Price,Closing Price,Price Change Percentage,Number of Transactions
2017-01-03,2330,23550783,4300648272,181.5,183.5,181,183,1.5,8743
2017-01-04,2330,24482374,4478699942,183,184,181.5,183,0,8476
2017-01-05,2330,21373561,3913389163,182,183.5,181.5,183.5,0.5,8297
2017-01-06,2330,23120808,4250912732,184,184.5,183.5,184,0.5,9659
2017-01-09,2330,18583788,3419409204,184,185,183,184,0,5759
2017-01-10,2330,20691305,3811496280,184.5,185.5,183.5,184,0,7831
2017-01-11,2330,29747168,5438136536,185,185,181.5,182,-2,10509
2017-01-12,2330,48599502,8959263194,182.5,185.5,182.5,184.5,2.5,13220
2017-01-13,2330,53089358,9622624651,180.5,182.5,180.5,181.5,-3,16366
2017-01-16,2330,30878049,5545432320,180,180.5,179,179.5,-2,13441
2017-01-17,2330,13207419,2386575839,180.5,181,179.5,181,1.5,5771
2017-01-18,2330,23810637,4292682797,180.5,181,179.5,181,0,7783
2017-01-19,2330,25935613,4673783621,179.5,181,179.5,180.5,-0.5,8400
2017-01-20,2330,42317086,7658563990,181,181.5,180.5,181,0.5,7803
2017-01-23,2330,58299156,10699572592,182.5,185,182.5,185,4,13560
2017-01-24,2330,72014239,13356900945,185,186.5,184.5,185.5,0.5,14227
2017-02-02,2330,153703780,28731441750,188,188.5,184,184.5,-1,21047
2017-02-03,2330,30387652,5604884683,186,186,183.5,184.5,0,8079
2017-02-06,2330,29702832,5476151588,184.5,185.5,184,184.5,0,8330
2017-02-07,2330,23981988,4418689272,183.5,185,183,184.5,0,8712
2017-02-08,2330,45607272,8371548478,183.5,184.5,183,183.5,-1,8245
2017-02-09,2330,23419788,4320161722,184,185.5,183.5,184,0.5,6639
2017-02-10,2330,49257380,9113650300,184.5,185.5,184,185.5,1.5,9566
2017-02-13,2330,26155819,4904437753,186.5,188,186.5,187.5,2,10124
2017-02-14,2330,46716940,8798947193,189,190,187.5,187.5,0,11413
2017-02-15,2330,39928274,7528270012,187,189.5,186.5,189,1.5,12905
2017-02-16,2330,28371087,5360502302,190,190.5,188,189,0,9035
2017-02-17,2330,20407880,3870482337,190,190.5,189,189.5,0.5,7390
2017-02-18,2330,3517102,667392778,190,190.5,189.5,189.5,0,1771
2017-02-20,2330,13280401,2523599428,190,190.5,189.5,190,0.5,6466
2017-02-21,2330,31987532,6058373156,190,190,188.5,190,0,8646
2017-02-22,2330,26144905,4946742296,190.5,191,188.5,188.5,-1.5,6199
2017-02-23,2330,36095621,6809495260,188,189.5,187,188.5,0,7885
2017-02-24,2330,26177021,4945608983,187.5,190.5,187.5,189,0.5,7417
2017-03-01,2330,48263273,9041728541,188.5,188.5,186,186,-3,12019
2017-03-02,2330,40879671,7603470296,188,188.5,185,186,0,12567
2017-03-03,2330,28213610,5199920850,184.5,185,184,184,-2,11570
2017-03-06,2330,12633329,2321087036,184,184.5,183.5,183.5,-0.5,5831
2017-03-07,2330,22816387,4214029230,184,185.5,184,185.5,2,5824
2017-03-08,2330,38657077,7217763409,186,188,185.5,187,1.5,9614
2017-03-09,2330,31119469,5750011305,185.5,186,184,184.5,-2.5,12394
2017-03-10,2330,24886297,4569391905,184,184.5,183,183.5,-1,10065
2017-03-13,2330,11025355,2048482530,185,186.5,185,186.5,3,4141
2017-03-14,2330,24373221,4564713486,188,188,186,186,-0.5,7773
2017-03-15,2330,14147168,2634475248,185.5,187,185.5,186.5,0.5,4952
2017-03-16,2330,32452964,6143253446,188,190,188,190,3.5,15071
2017-03-17,2330,38698064,7377279160,189.5,191.5,189,191.5,1.5,10731
2017-03-20,2330,16531620,3154243641,191.5,191.5,189.5,191.5,0,6790
2017-03-21,2330,33662234,6523324906,192,195,191.5,195,3.5,13192
2017-03-22,2330,27766559,5349879407,192.5,193.5,191.5,193.5,-1.5,9435
2017-03-23,2330,18831295,3628401625,192,193.5,192,193.5,0,6052
2017-03-24,2330,17722202,3408016684,192,193,192,192.5,-1,5225
2017-03-27,2330,29867998,5766195556,194.5,194.5,192,193,0.5,6963
2017-03-28,2330,39522318,7662549266,195,195,192.5,194.5,1.5,9380
2017-03-29,2330,33839400,6501685654,194.5,194.5,191,191.5,-3,11340
2017-03-30,2330,30716971,5884771607,192.5,193,190.5,191.5,0,9900
2017-03-31,2330,33996900,6457321080,191,192,189,189,-2.5,10225
2017-04-05,2330,45116406,8656195632,189.5,193,189.5,193,4,14224
2017-04-06,2330,17417037,3337417368,193,193,191,191.5,-1.5,6309
2017-04-07,2330,19066095,3624732655,192,192,188.5,191,-0.5,7861
2017-04-10,2330,17388929,3307523455,191,191.5,189.5,190,-1,6803
2017-04-11,2330,9788922,1862488347,190,191,189,191,1,3348
2017-04-12,2330,17418048,3321982188,190.5,191.5,190,191,0,5778
2017-04-13,2330,14796174,2829915284,189.5,192,189.5,191.5,0.5,5705
2017-04-14,2330,31317585,5909582565,189.5,189.5,188,189,-2.5,12442
2017-04-17,2330,17111522,3223517863,189,189,187.5,187.5,-1.5,7470
2017-04-18,2330,28732770,5411365190,188,189.5,187.5,188,0.5,6174
2017-04-19,2330,31171199,5828201425,187.5,187.5,186.5,186.5,-1.5,9427
2017-04-20,2330,32697485,6118457114,186.5,188,186.5,187,0.5,6751
2017-04-21,2330,19034232,3603058600,187.5,190,187.5,190,3,6966
2017-04-24,2330,29572675,5612973548,191,191.5,188.5,190,0,5428
2017-04-25,2330,31952889,6096631799,190.5,192,189.5,192,2,10510
2017-04-26,2330,31119972,5951704052,192,192,190.5,191,-1,10342
2017-04-27,2330,35812934,6877484808,192,193,190.5,193,2,9859
2017-04-28,2330,38381021,7446882120,193.5,194.5,193,194.5,1.5,11671
2017-05-02,2330,45851963,9053856108,198.5,199,195.5,196.5,2,15718
2017-05-03,2330,27240962,5390698304,198,198.5,197,198,1.5,9259
2017-05-04,2330,22194084,4394409518,198.5,199,197,198,0,8787
2017-05-05,2330,17618358,3484019026,197,198.5,197,197.5,-0.5,6078
2017-05-08,2330,39591009,7943498809,199,202.5,199,202.5,5,15190
2017-05-09,2330,48285324,9920879512,205.5,207,203.5,203.5,1,15467
2017-05-10,2330,31075759,6369713620,204,206,204,205.5,2,11094
2017-05-11,2330,44286097,9144772197,204.5,208.5,204,207.5,2,16478
2017-05-12,2330,25507045,5246098865,205,207,205,206,-1.5,7515
2017-05-15,2330,25922334,5324070590,204,206,204,206,0,8141
2017-05-16,2330,36604672,7468111624,205,205,203.5,204.5,-1.5,11066
2017-05-17,2330,22606380,4599735640,203,204,203,204,-0.5,9323
2017-05-18,2330,22490217,4559780051,202.5,204,201.5,203.5,-0.5,6983
2017-05-19,2330,17163108,3490280961,203.5,204.5,202.5,203,-0.5,6014
2017-05-22,2330,17419705,3554245920,203.5,205,203,205,2,5278
2017-05-23,2330,23028298,4738103907,205,207,204.5,205,0,7003
2017-05-24,2330,18307715,3760309975,205,206,205,205.5,0.5,5141
2017-05-25,2330,26088748,5388004408,206,207,205.5,207,1.5,7406
2017-05-26,2330,32976727,6794923568,205,207,205,207,0,8059
2017-05-31,2330,67935145,13853122715,206.5,207,203,203,-4,11757
2017-06-01,2330,29623649,6096361694,205,207,204.5,207,4,6374
2017-06-02,2330,23265323,4845442265,208.5,209,207.5,209,2,7429
2017-06-03,2330,1535230,320348914,209,209,208,209,0,1078
2017-06-05,2330,22545164,4746962354,209.5,212,209,212,3,8931
2017-06-06,2330,15382025,3243804586,210.5,211.5,210.5,210.5,-1.5,5541
2017-06-07,2330,34729326,7342424736,212,212.5,210,211.5,1,8034
2017-06-08,2330,21654488,4599496993,212,213,211.5,213,1.5,7926
2017-06-09,2330,35190159,7505851237,214.5,215,212,212,-1,10657
2017-06-12,2330,63111746,13135046554,207,210,207,207.5,-4.5,22473
2017-06-13,2330,49983303,10381567507,207,208.5,206.5,208,0.5,13236
2017-06-14,2330,39083899,8113132831,208.5,209.5,206,207,-1,11304
2017-06-15,2330,19486457,4046560581,207.5,208,207,208,1,6497
2017-06-16,2330,32856536,6902455266,207.5,212,207,211.5,3.5,9683
2017-06-19,2330,17489571,3712290873,211,213,210.5,213,1.5,5658
2017-06-20,2330,28784100,6229988043,215,218,214.5,216.5,3.5,9135
2017-06-21,2330,45384482,9793828804,216,217,214.5,215.5,-1,12233
2017-06-22,2330,26094649,5674049232,217,218,216.5,218,2.5,7559
2017-06-23,2330,39686091,8627393668,218,218.5,217,217,-1,14539
2017-06-26,2330,60140797,12848925735,212,215,212,215,0,20653
2017-06-27,2330,44504785,9437315205,214,214,211,211.5,-3.5,17122
2017-06-28,2330,52273921,10919812400,209.5,210,208,208.5,-3,15953
2017-06-29,2330,27049234,5678566197,210.5,210.5,208.5,210,1.5,8431
2017-06-30,2330,31709978,6580047422,206.5,208.5,206.5,208.5,-1.5,9805
2017-07-03,2330,21066605,4382736445,207.5,209,207,209,0.5,7037
2017-07-04,2330,21592272,4476915676,208,208.5,207,207,-2,8990
2017-07-05,2330,23463030,4868199460,207,208.5,206.5,208.5,1.5,7278
2017-07-06,2330,15260726,3166474008,208,208.5,207,207.5,-1,4473
2017-07-07,2330,21567705,4449245335,207,207.5,205.5,206,-1.5,8234
2017-07-10,2330,13326526,2749724552,206.5,207,206,206,0,5812
2017-07-11,2330,34593975,7275696778,208,212,207.5,212,6,11217
2017-07-12,2330,26887728,5690155100,211,212.5,210.5,210.5,-1.5,9582
2017-07-13,2330,50136849,10735533186,212,216,211.5,214.5,4,16903
2017-07-14,2330,22364167,4773890099,213,214.5,212,213,-1.5,9330
2017-07-17,2330,21400126,4566620338,215,215.5,211.5,213,0,8537
2017-07-18,2330,18756453,3998545790,213,214,212,214,1,8905
2017-07-19,2330,20661381,4428023668,212.5,215,212.5,214.5,0.5,11699
2017-07-20,2330,20795770,4468108550,215,215.5,214,215.5,1,8261
2017-07-21,2330,15422136,3302914894,214,215,213.5,214,-1.5,7558
